gateId,terminalId,waitTime,waitLength,occurtime,operatingTime,tmp1,tmp2,tmp3
DG1_E,P01,6,0,20260511143600,, , , 
DG1_W,P01,6,0,20260511143600,, , , 
DG2_E,P01,6,0,20260511143600,06:00~19:00, , , 
DG2_W,P01,7,2,20260511143600,06:00~19:00, , , 
DG3_E,P01,17,58,20260511143600,00:00~24:00, , , 
DG3_W,P01,16,57,20260511143600,00:00~24:00, , , 
DG4_E,P01,8,24,20260511143600,06:30~20:00, , , 
DG4_W,P01,7,21,20260511143600,06:30~20:00, , , 
DG5_E,P01,10,47,20260511143600,05:00~22:00, , , 
DG5_W,P01,10,48,20260511143600,05:00~22:00, , , 
DG1_E,P01,6,0,20260513134300,, , , 
DG1_W,P01,6,0,20260513134300,, , , 
DG2_E,P01,7,11,20260513134300,06:00~19:00, , , 
DG2_W,P01,8,12,20260513134300,06:00~19:00, , , 
DG3_E,P01,8,12,20260513134300,00:00~24:00, , , 
DG3_W,P01,9,14,20260513134300,00:00~24:00, , , 
DG4_E,P01,7,19,20260513134300,06:30~20:00, , , 
DG4_W,P01,7,17,20260513134300,06:30~20:00, , , 
DG5_E,P01,9,36,20260513134300,05:00~22:00, , , 
DG5_W,P01,9,36,20260513134300,05:00~22:00, , , 
DG1_E,P01,6,1,20260513135300,, , , 
DG1_W,P01,6,1,20260513135300,, , , 
DG2_E,P01,7,6,20260513135300,06:00~19:00, , , 
DG2_W,P01,8,8,20260513135300,06:00~19:00, , , 
DG3_E,P01,8,7,20260513135300,00:00~24:00, , , 
DG3_W,P01,8,9,20260513135300,00:00~24:00, , , 
DG4_E,P01,10,54,20260513135300,06:30~20:00, , , 
DG4_W,P01,10,50,20260513135300,06:30~20:00, , , 
DG5_E,P01,10,49,20260513135300,05:00~22:00, , , 
DG5_W,P01,10,48,20260513135300,05:00~22:00, , , 
DG1_E,P01,6,0,20260513135700,, , , 
DG1_W,P01,6,0,20260513135700,, , , 
DG2_E,P01,6,1,20260513135700,06:00~19:00, , , 
DG2_W,P01,7,5,20260513135700,06:00~19:00, , , 
DG3_E,P01,12,32,20260513135700,00:00~24:00, , , 
DG3_W,P01,12,31,20260513135700,00:00~24:00, , , 
DG4_E,P01,11,70,20260513135700,06:30~20:00, , , 
DG4_W,P01,11,71,20260513135700,06:30~20:00, , , 
DG5_E,P01,10,46,20260513135700,05:00~22:00, , , 
DG5_W,P01,9,43,20260513135700,05:00~22:00, , , 
DG1_E,P01,6,0,20260513142800,, , , 
DG1_W,P01,6,0,20260513142800,, , , 
DG2_E,P01,6,1,20260513142800,06:00~19:00, , , 
DG2_W,P01,7,5,20260513142800,06:00~19:00, , , 
DG3_E,P01,13,35,20260513142800,00:00~24:00, , , 
DG3_W,P01,14,38,20260513142800,00:00~24:00, , , 
DG4_E,P01,8,23,20260513142800,06:30~20:00, , , 
DG4_W,P01,8,23,20260513142800,06:30~20:00, , , 
DG5_E,P01,17,117,20260513142800,05:00~22:00, , , 
DG5_W,P01,18,120,20260513142800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516144800,, , , 
DG1_W,P01,6,0,20260516144800,, , , 
DG2_E,P01,7,3,20260516144800,06:00~19:00, , , 
DG2_W,P01,7,7,20260516144800,06:00~19:00, , , 
DG3_E,P01,9,15,20260516144800,00:00~24:00, , , 
DG3_W,P01,9,13,20260516144800,00:00~24:00, , , 
DG4_E,P01,7,7,20260516144800,06:30~20:00, , , 
DG4_W,P01,7,7,20260516144800,06:30~20:00, , , 
DG5_E,P01,11,68,20260516144800,05:00~22:00, , , 
DG5_W,P01,11,72,20260516144800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516145800,, , , 
DG1_W,P01,6,0,20260516145800,, , , 
DG2_E,P01,7,8,20260516145800,06:00~19:00, , , 
DG2_W,P01,8,9,20260516145800,06:00~19:00, , , 
DG3_E,P01,7,8,20260516145800,00:00~24:00, , , 
DG3_W,P01,7,5,20260516145800,00:00~24:00, , , 
DG4_E,P01,9,36,20260516145800,06:30~20:00, , , 
DG4_W,P01,9,33,20260516145800,06:30~20:00, , , 
DG5_E,P01,9,42,20260516145800,05:00~22:00, , , 
DG5_W,P01,10,61,20260516145800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516150800,, , , 
DG1_W,P01,6,0,20260516150800,, , , 
DG2_E,P01,6,3,20260516150800,06:00~19:00, , , 
DG2_W,P01,7,6,20260516150800,06:00~19:00, , , 
DG3_E,P01,11,22,20260516150800,00:00~24:00, , , 
DG3_W,P01,10,17,20260516150800,00:00~24:00, , , 
DG4_E,P01,8,22,20260516150800,06:30~20:00, , , 
DG4_W,P01,8,21,20260516150800,06:30~20:00, , , 
DG5_E,P01,9,42,20260516150800,05:00~22:00, , , 
DG5_W,P01,9,43,20260516150800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516151300,, , , 
DG1_W,P01,6,0,20260516151300,, , , 
DG2_E,P01,8,16,20260516151300,06:00~19:00, , , 
DG2_W,P01,8,21,20260516151300,06:00~19:00, , , 
DG3_E,P01,11,26,20260516151300,00:00~24:00, , , 
DG3_W,P01,10,21,20260516151300,00:00~24:00, , , 
DG4_E,P01,7,8,20260516151300,06:30~20:00, , , 
DG4_W,P01,7,8,20260516151300,06:30~20:00, , , 
DG5_E,P01,8,35,20260516151300,05:00~22:00, , , 
DG5_W,P01,8,35,20260516151300,05:00~22:00, , , 
DG1_E,P01,6,0,20260516151800,, , , 
DG1_W,P01,6,0,20260516151800,, , , 
DG2_E,P01,7,14,20260516151800,06:00~19:00, , , 
DG2_W,P01,8,20,20260516151800,06:00~19:00, , , 
DG3_E,P01,9,14,20260516151800,00:00~24:00, , , 
DG3_W,P01,8,10,20260516151800,00:00~24:00, , , 
DG4_E,P01,8,19,20260516151800,06:30~20:00, , , 
DG4_W,P01,8,19,20260516151800,06:30~20:00, , , 
DG5_E,P01,11,66,20260516151800,05:00~22:00, , , 
DG5_W,P01,10,66,20260516151800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516152800,, , , 
DG1_W,P01,6,0,20260516152800,, , , 
DG2_E,P01,8,15,20260516152800,06:00~19:00, , , 
DG2_W,P01,9,29,20260516152800,06:00~19:00, , , 
DG3_E,P01,9,13,20260516152800,00:00~24:00, , , 
DG3_W,P01,8,11,20260516152800,00:00~24:00, , , 
DG4_E,P01,8,16,20260516152800,06:30~20:00, , , 
DG4_W,P01,7,14,20260516152800,06:30~20:00, , , 
DG5_E,P01,10,56,20260516152800,05:00~22:00, , , 
DG5_W,P01,10,53,20260516152800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516153800,, , , 
DG1_W,P01,7,4,20260516153800,, , , 
DG2_E,P01,7,7,20260516153800,06:00~19:00, , , 
DG2_W,P01,7,10,20260516153800,06:00~19:00, , , 
DG3_E,P01,8,9,20260516153800,00:00~24:00, , , 
DG3_W,P01,7,4,20260516153800,00:00~24:00, , , 
DG4_E,P01,7,13,20260516153800,06:30~20:00, , , 
DG4_W,P01,7,14,20260516153800,06:30~20:00, , , 
DG5_E,P01,7,21,20260516153800,05:00~22:00, , , 
DG5_W,P01,7,21,20260516153800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516154300,, , , 
DG1_W,P01,7,6,20260516154300,, , , 
DG2_E,P01,8,19,20260516154300,06:00~19:00, , , 
DG2_W,P01,9,27,20260516154300,06:00~19:00, , , 
DG3_E,P01,8,10,20260516154300,00:00~24:00, , , 
DG3_W,P01,7,6,20260516154300,00:00~24:00, , , 
DG4_E,P01,7,12,20260516154300,06:30~20:00, , , 
DG4_W,P01,7,11,20260516154300,06:30~20:00, , , 
DG5_E,P01,7,10,20260516154300,05:00~22:00, , , 
DG5_W,P01,7,9,20260516154300,05:00~22:00, , , 
DG1_E,P01,6,0,20260516154800,, , , 
DG1_W,P01,7,0,20260516154800,, , , 
DG2_E,P01,8,21,20260516154800,06:00~19:00, , , 
DG2_W,P01,8,20,20260516154800,06:00~19:00, , , 
DG3_E,P01,9,11,20260516154800,00:00~24:00, , , 
DG3_W,P01,8,9,20260516154800,00:00~24:00, , , 
DG4_E,P01,8,25,20260516154800,06:30~20:00, , , 
DG4_W,P01,9,30,20260516154800,06:30~20:00, , , 
DG5_E,P01,9,26,20260516154800,05:00~22:00, , , 
DG5_W,P01,8,24,20260516154800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516155800,, , , 
DG1_W,P01,6,0,20260516155800,, , , 
DG2_E,P01,8,26,20260516155800,06:00~19:00, , , 
DG2_W,P01,9,38,20260516155800,06:00~19:00, , , 
DG3_E,P01,14,40,20260516155800,00:00~24:00, , , 
DG3_W,P01,13,35,20260516155800,00:00~24:00, , , 
DG4_E,P01,7,10,20260516155800,06:30~20:00, , , 
DG4_W,P01,7,10,20260516155800,06:30~20:00, , , 
DG5_E,P01,8,20,20260516155800,05:00~22:00, , , 
DG5_W,P01,8,20,20260516155800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516160800,, , , 
DG1_W,P01,6,0,20260516160800,, , , 
DG2_E,P01,11,51,20260516160800,06:00~19:00, , , 
DG2_W,P01,11,56,20260516160800,06:00~19:00, , , 
DG3_E,P01,14,35,20260516160800,00:00~24:00, , , 
DG3_W,P01,13,32,20260516160800,00:00~24:00, , , 
DG4_E,P01,7,5,20260516160800,06:30~20:00, , , 
DG4_W,P01,7,3,20260516160800,06:30~20:00, , , 
DG5_E,P01,9,28,20260516160800,05:00~22:00, , , 
DG5_W,P01,9,28,20260516160800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517124800,, , , 
DG1_W,P01,6,0,20260517124800,, , , 
DG2_E,P01,7,17,20260517124800,06:00~19:00, , , 
DG2_W,P01,14,81,20260517124800,06:00~19:00, , , 
DG3_E,P01,16,62,20260517124800,00:00~24:00, , , 
DG3_W,P01,16,62,20260517124800,00:00~24:00, , , 
DG4_E,P01,13,122,20260517124800,06:30~20:00, , , 
DG4_W,P01,17,144,20260517124800,06:30~20:00, , , 
DG5_E,P01,20,163,20260517124800,05:00~22:00, , , 
DG5_W,P01,34,231,20260517124800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517125800,, , , 
DG1_W,P01,6,0,20260517125800,, , , 
DG2_E,P01,9,46,20260517125800,06:00~19:00, , , 
